,h2,ch4,c2h6,c2h4,c2h2,act
283,13500,6110,212,4510,4040,3
284,1570,1110,175,1780,1830,3
285,3090,5020,323,3800,2540,3
286,1820,405,35,365,634,3
287,535,160,16,305,680,3
288,13,3,1,3,6,3
289,137,67,7,53,104,3
290,1084,188,8,166,769,3
291,34,21,4,49,56,3
292,7940,2000,355,3120,5390,3
293,150,130,9,55,30,3
294,8200,3790,250,4620,5830,3
295,260,215,35,334,277,3
296,75,15,7,14,26,3
297,530,345,85,266,250,3
298,60,5,2,21,21,3
299,90,28,8,31,32,3
300,220,77,22,170,240,3
301,5900,1500,68,1200,2300,3
302,420,250,41,530,800,3
303,2800,2800,234,3500,3600,3
304,99,170,20,200,190,3
305,310,230,54,610,760,3
306,800,160,23,260,600,3
307,1500,395,28,395,323,3
308,20000,13000,1850,29000,57000,3
309,305,85,25,197,130,3
310,1900,530,35,383,434,3
311,110,62,90,140,250,3
312,3700,1690,128,2810,3270,3
313,2770,660,54,712,763,3
314,245,120,18,131,167,3
315,1170,255,18,312,325,3
316,4419,3564,668,2861,2025,3
317,810,580,111,570,490,3
318,5000,1200,83,1000,1100,3
319,10000,6730,345,7330,10400,3
320,1570,735,87,1330,1740,3
321,8800,64064,72128,95650,0.001,6
322,6709,10500,1400,17700,750,6
323,1100,1600,221,2010,26,6
324,290,966,299,1810,57,6
325,2500,10500,4790,13500,6,6
326,1860,4980,0.001,10700,1600,6
327,860,1670,30,2050,40,6
328,150,22,9,60,11,6
329,400,940,210,820,24,6
330,6,2990,29990,26076,67,6
331,100,200,110,670,11,6
332,290,1260,231,820,8,6
333,1550,2740,816,5450,184,6
334,3910,4290,626,6040,1230,6
335,12705,23498,6047,34257,5188,6
336,1,8,8,100,6,6
337,300,700,280,1700,36,6
338,107,143,34,222,2,6
339,130,140,2,120,0.001,4
340,55,22,358,2.6,0.001,4
341,78,66,283,2.6,0.001,4
342,16000,3600,670,14,0.001,1
343,6600,1000,38,2,19,1
344,2091,149,20,3,0.001,1
345,8200,3790,250,4620,277,3
346,75,15,7,14,250,3
347,530,345,85,266,21,3
348,60,5,2,21,32,3
349,5900,1500,68,1200,800,3
350,1,27,49,4,1,4
351,14,14,124,7,1,4
352,3420,7870,1500,6990,33,6
353,19.3,103,159,19,0.6,6
354,27,30,23,2.4,0.1,4
355,23,63,54,10,0.3,2
356,21,34,5,47,62,3
357,160,130,33,96,0.1,5
358,180,175,75,50,4,5
359,345,112.3,27.5,51.5,58.8,2
360,30.4,117,44.2,138,0.1,5
361,181,262,41,28,0.001,4
362,173,334,172,812.5,37.7,6
363,127,107,11,154,224,3
364,60,40,6.9,110,70,3
365,220,340,42,480,14,6
366,170,320,53,520,3.2,6
367,27,90,42,63,0.2,5
368,56,286,96,928,7,6
369,200,48,14,117,131,3
370,78,161,86,353,10,6
371,32.4,5.5,1.4,12.6,13.2,3
372,980,73,58,12,0.001,1
373,160,130,33,96,0.001,4
374,650,53,35,20,0.001,1
375,95,110,160,50,0.001,4
376,300,490,180,360,95,5
377,200,700,250,740,1,5
378,625,130,47,2,0.0001,4
379,56,61,75,32,31,1
380,1651,90,33,45,2,1
381,234.5,30.28,6.11,47.69,175.88,2
382,18.34,16.26,3.38,17.95,16.42,3
383,235.46,333.59,177.52,1201.85,148.87,3
384,505.57,475.35,242.3,524.45,3.29,4
385,36,30,10,93,7.1,6
386,2091,149,20,3,0.001,1
387,8200,3790,250,4620,277,3
388,75,15,7,14,250,3
389,530,345,85,266,21,3
390,60,5,2,21,32,3
391,5900,1500,68,1200,800,3
392,1,27,49,4,1,4
393,14,14,124,7,1,4
394,3420,7870,1500,6990,33,6
395,19.3,103,159,19,0.6,6
396,27,30,23,2.4,0.1,4
397,23,63,54,10,0.3,2
398,21,34,5,47,62,3
399,160,130,33,96,0.1,5
400,180,175,75,50,4,5
401,345,112.3,27.5,51.5,58.8,2
402,30.4,117,44.2,138,0.1,5
403,181,262,41,28,0.001,4
404,173,334,172,812.5,37.7,6
405,127,107,11,154,224,3
406,60,40,6.9,110,70,3
407,220,340,42,480,14,6
408,170,320,53,520,3.2,6
409,27,90,42,63,0.2,5
410,56,286,96,928,7,6
411,200,48,14,117,131,3
412,78,161,86,353,10,6
413,32.4,5.5,1.4,12.6,13.2,3
414,980,73,58,12,0.001,1
415,160,130,33,96,0.001,4
416,650,53,35,20,0.001,1
417,95,110,160,50,0.001,4
418,300,490,180,360,95,5
419,200,700,250,740,1,5
420,625,130,47,2,0.0001,4
421,56,61,75,32,31,1
422,1651,90,33,45,2,1
423,234.5,30.28,6.11,47.69,175.88,2
424,18.34,16.26,3.38,17.95,16.42,3
425,235.46,333.59,177.52,1201.85,148.87,3
426,505.57,475.35,242.3,524.45,3.29,4
427,36,30,10,93,7.1,6
428,345,112.3,27.5,51.5,58.8,2
429,181,262,41,28,0.001,4
430,172.9,334,172,812.5,37.7,6
431,127,107,11,154,224,3
432,60,40,6.9,110,70,3
433,220,340,42,480,14,6
434,170,320,53,520,3.2,6
435,27,90,42,73,0.2,4
436,565,53,34,47,0.001,2
437,56,286,96,28,7,6
438,200,48,14,117,131,3
439,78,161,86,353,10,6
440,32.4,5.5,1.4,12.6,13.2,3
441,41,65,22,58,0.001,5
442,20,48,36,186,0.001,6
443,179,306,73,579,0.001,6
444,73,177,37,52,0.001,5
445,39,7,12,65,0.001,6
446,37,96,19,57,0.001,5
447,46,147,27,150,0.001,6
448,18,63,20,51,0.001,5
449,28,62,16,76,0.001,6
450,68,78,103,136,0.001,6
451,54,143,23,101,0.001,5
452,19,47,27,62,0.001,5
453,86,277,63,338,0.001,6
454,20,19,45,77,0.001,6
455,25,49,42,58,0.001,5
456,53,150,64,379,0.001,6
457,114,241,80,574,0.001,6
458,99,288,73,386,0.001,6
459,1374,2648,628,5376,298,6
460,34,83,100,136,0.001,6
461,20,132,61,17,0.001,4
462,13,138,83,16,0.001,4
463,43,116,65,139,0.001,5
464,179,306,73,579,0.001,6
465,57,141,38,51,0.001,5
466,35,283,121,222,0.001,5
467,15,159,29,87,0.001,5
468,55,159,114,493,0.001,6
469,37,123,67,52,0.001,4
470,7,15,78,58,0.001,4
471,30,51,12,54,0.001,6
472,31,56,33,77,0.001,5
473,109,226,68,192,0.001,5
474,137,279,66,505,0.001,6
475,59,119,36,70,0.001,5
476,151,242,68,232,0.001,5
477,870,77,73,54,14,1
478,376,575,146,1092,0.001,6
479,17,40,11,86,0.001,6
480,90,313,67,566,10,4
481,23,6,172,23,31,4
482,103,74,80,9,0.001,4
483,124,166,87,59,0.001,4
484,295,1466,331,1295,32,5
485,80,619,326,2480,0.001,5
486,231,3997,1726,5584,0.001,5
487,507,1053,297,1440,17,5
488,2587,7.88,4.7,1.4,0.001,2
489,240,20,5,28,96,2
490,160,10,3,1,1,2
491,56,61,75,32,31,2
492,217,286,14,458,884,3
493,441,207,43,224,261,3
494,127,24,0.001,32,81,3
495,176,205.9,47.7,75.7,68.7,3
496,345,112.3,27.5,51.5,58.8,2
497,181,262,41,28,0.001,4
498,172.9,334,172,812.5,37.7,6
499,127,107,11,154,224,3
500,60,40,6.9,110,70,3
501,220,340,42,480,14,6
502,170,320,53,520,3.2,6
503,27,90,42,73,0.2,4
504,565,53,34,47,0.001,2
505,56,286,96,28,7,6
506,200,48,14,117,131,3
507,78,161,86,353,10,6
508,32.4,5.5,1.4,12.6,13.2,3
509,41,65,22,58,0.001,5
510,20,48,36,186,0.001,6
511,179,306,73,579,0.001,6
512,73,177,37,52,0.001,5
513,39,7,12,65,0.001,6
514,37,96,19,57,0.001,5
515,46,147,27,150,0.001,6
516,18,63,20,51,0.001,5
517,28,62,16,76,0.001,6
518,68,78,103,136,0.001,6
519,54,143,23,101,0.001,5
520,19,47,27,62,0.001,5
521,86,277,63,338,0.001,6
522,20,19,45,77,0.001,6
523,25,49,42,58,0.001,5
524,53,150,64,379,0.001,6
525,114,241,80,574,0.001,6
526,99,288,73,386,0.001,6
527,1374,2648,628,5376,298,6
528,34,83,100,136,0.001,6
529,20,132,61,17,0.001,4
530,13,138,83,16,0.001,4
531,43,116,65,139,0.001,5
532,179,306,73,579,0.001,6
533,57,141,38,51,0.001,5
534,35,283,121,222,0.001,5
535,15,159,29,87,0.001,5
536,55,159,114,493,0.001,6
537,37,123,67,52,0.001,4
538,7,15,78,58,0.001,4
539,30,51,12,54,0.001,6
540,31,56,33,77,0.001,5
541,109,226,68,192,0.001,5
542,137,279,66,505,0.001,6
543,59,119,36,70,0.001,5
544,151,242,68,232,0.001,5
545,870,77,73,54,14,1
546,376,575,146,1092,0.001,6
547,17,40,11,86,0.001,6
548,90,313,67,566,10,4
549,23,6,172,23,31,4
550,103,74,80,9,0.001,4
551,124,166,87,59,0.001,4
552,295,1466,331,1295,32,5
553,80,619,326,2480,0.001,5
554,231,3997,1726,5584,0.001,5
555,507,1053,297,1440,17,5
556,2587,7.88,4.7,1.4,0.001,2
557,240,20,5,28,96,2
558,160,10,3,1,1,2
559,56,61,75,32,31,2
560,217,286,14,458,884,3
561,441,207,43,224,261,3
562,127,24,0.001,32,81,3
563,176,205.9,47.7,75.7,68.7,3
, ,,,,,
